Feed Flow (m3/hr),Feed Pressure(bar),Feed Temperature,Feed water pH,Specific Energy(kwh/m3),Flux(lmh),Pass Stage,Pressure Vessel,Elements,Element age(years),Recovery(%),Ca_FW,Mg_FW,Na_FW,K_FW,NH4_FW,Ba_FW,Sr_FW,H_FW,CO3_FW,HCO3_FW,SO4_FW,Cl_FW,F_FW,NO3_FW,PO4_FW,OH_FW,SiO2_FW,B_FW,CO2_FW,NH3_FW,Feed Water TDS,"CaSO4 / ksp * 100, %_FW","SrSO4 / ksp * 100, %_FW","BaSO4 / ksp * 100, %_FW","SiO2 saturation, %_FW","CaF2 / ksp * 100, %_FW",Ca_P,Mg_P,Na_P,K_P,NH4_P,Ba_P,Sr_P,H_P,CO3_P,HCO3_P,SO4_P,Cl_P,F_P,NO3_P,PO4_P,OH_P,SiO2_P,B_P,CO2_P,NH3_P,Permeate TDS,Ca_C,Mg_C,Na_C,K_C,NH4_C,Ba_C,Sr_C,H_C,CO3_C,HCO3_C,SO4_C,Cl_C,F_C,NO3_C,PO4_C,OH_C,SiO2_C,B_C,CO2_C,NH3_C,Concentrate TDS,"CaSO4 / ksp * 100, %_C","SrSO4 / ksp * 100, %_C","BaSO4 / ksp * 100, %_C","SiO2 saturation, %_C","CaF2 / ksp * 100, %_C"
136.47,21.28,25.00,7.00,142.99,16.32,1.00,33.00,6.00,3.00,88.00,21.60,2.44,1761.10,0.00,0.00,0.00,0.00,0.00,0.05,53.60,100.00,2656.11,0.00,0.00,0.00,,10.00,0.00,6.28,,4604.91,0.23,0.00,0.00,7.99,0.00,0.04,0.00,24.16,0.00,0.00,0.00,0.00,0.00,0.00,0.99,0.28,36.70,0.00,0.00,0.00,,0.14,0.00,6.25,,62.33,179.25,20.25,14464.33,0.00,0.00,0.00,0.00,0.00,2.77,434.87,829.28,21813.28,0.00,0.00,0.00,,82.08,0.00,7.27,,37826.12,3.10,0.00,0.00,65.15,0.00
16.38,63.11,25.00,7.00,40.02,12.24,1.00,3.00,6.00,3.00,50.00,180.90,20.40,14465.98,0.00,0.00,0.00,0.00,0.00,0.66,404.98,833.20,21836.45,0.00,0.00,0.00,,82.08,0.00,26.30,,37824.66,3.14,0.00,0.00,65.53,0.00,0.20,0.02,130.01,0.00,0.00,0.00,0.00,0.00,0.00,3.97,1.34,197.80,0.00,0.00,0.00,,0.79,0.00,26.61,,334.13,360.98,40.71,28752.72,0.00,0.00,0.00,0.00,0.00,2.30,802.83,1662.22,43400.78,0.00,0.00,0.00,,163.09,0.00,26.54,,75185.62,7.35,0.00,0.00,130.13,0.00
17.22,20.91,25.00,7.00,13.77,13.13,1.00,4.00,6.00,3.00,68.00,143.80,45.37,2746.13,0.00,0.00,0.00,0.00,0.00,0.33,312.78,664.24,3949.15,0.00,0.00,0.00,,33.10,0.00,32.93,,7894.91,6.38,0.00,0.00,26.44,0.00,0.24,0.08,30.42,0.00,0.00,0.00,0.00,0.00,0.00,3.87,1.35,44.51,0.00,0.00,0.00,,0.39,0.00,33.04,,80.85,448.73,141.58,8514.29,0.00,0.00,0.00,0.00,0.00,3.04,965.27,2072.23,12242.59,0.00,0.00,0.00,,102.57,0.00,33.84,,24490.29,26.17,0.00,0.00,81.71,0.00
5.50,45.41,25.00,7.00,8.37,12.33,1.00,1.00,6.00,3.00,50.00,448.73,141.58,8514.34,0.00,0.00,0.00,0.00,0.00,1.32,916.49,2072.24,12273.21,0.00,0.00,0.00,,102.57,0.00,70.05,,24470.50,26.17,0.00,0.00,81.90,0.00,0.57,0.18,81.09,0.00,0.00,0.00,0.00,0.00,0.00,9.21,3.27,119.02,0.00,0.00,0.00,,1.06,0.00,70.78,,214.40,895.90,282.67,16928.92,0.00,0.00,0.00,0.00,0.00,4.77,1817.56,4136.64,24400.47,0.00,0.00,0.00,,203.86,0.00,70.75,,48670.80,61.46,0.00,0.00,162.61,0.00
83.33,20.51,35.00,7.00,76.41,16.03,1.00,14.00,6.00,3.00,60.00,162.36,17.34,2929.43,0.00,0.00,0.00,0.00,0.00,0.08,59.69,1417.70,3774.05,0.00,0.00,0.00,,49.63,0.00,5.58,,8410.27,14.31,0.00,0.00,39.60,0.00,0.29,0.03,31.82,0.00,0.00,0.00,0.00,0.00,0.00,0.99,4.34,46.05,0.00,0.00,0.00,,0.64,0.00,5.51,,84.16,405.80,43.34,7281.88,0.00,0.00,0.00,0.00,0.00,0.45,147.37,3540.69,9373.81,0.00,0.00,0.00,,123.21,0.00,5.87,,20916.56,44.54,0.00,0.00,98.02,0.00
22.22,30.40,35.00,7.00,22.64,8.97,1.00,5.00,6.00,3.00,45.00,408.40,43.40,7298.00,0.00,0.00,0.00,0.00,0.00,0.25,148.52,3548.21,9397.65,0.00,0.00,0.00,,123.70,0.00,10.76,,20968.13,44.83,0.00,0.00,98.66,0.00,0.67,0.07,79.70,0.00,0.00,0.00,0.00,0.00,0.00,2.08,10.04,115.81,0.00,0.00,0.00,,1.63,0.00,10.78,,210.00,741.44,78.79,13193.93,0.00,0.00,0.00,0.00,0.00,0.74,267.42,6438.20,16979.08,0.00,0.00,0.00,,223.41,0.00,11.04,,37923.01,93.70,0.00,0.00,177.93,0.00
116.25,60.71,35.00,7.50,284.23,13.03,1.00,16.00,6.00,3.00,40.00,900.20,1342.00,13340.42,664.67,0.00,0.00,0.00,0.00,0.00,0.01,2496.00,24840.38,0.00,0.00,0.00,,0.00,0.00,0.00,,43583.69,38.04,0.00,0.00,0.00,0.00,3.20,3.83,222.39,15.40,0.00,0.00,0.00,0.00,0.00,0.00,5.12,369.96,0.00,0.00,0.00,,0.00,0.00,0.00,,619.90,1496.85,2232.10,22065.89,1096.53,0.00,0.00,0.00,0.00,0.00,0.01,4152.84,41116.94,0.00,0.00,0.00,,0.00,0.00,0.00,,72161.16,71.14,0.00,0.00,0.00,0.00
116.25,61.75,32.00,7.50,289.10,13.03,1.00,16.00,6.00,3.00,40.00,901.21,1343.51,13354.99,665.42,0.00,0.00,0.00,0.00,0.00,-0.02,2498.80,24867.67,0.00,0.00,0.00,,0.00,0.00,0.00,,43631.58,38.12,0.00,0.00,0.00,0.00,2.74,3.27,190.33,13.19,0.00,0.00,0.00,0.00,0.00,0.00,4.38,316.62,0.00,0.00,0.00,,0.00,0.00,0.00,,530.53,1498.24,2234.08,22102.59,1098.80,0.00,0.00,0.00,0.00,0.00,-0.02,4156.31,41181.27,0.00,0.00,0.00,,0.00,0.00,0.00,,72271.27,71.25,0.00,0.00,0.00,0.00
116.25,61.68,32.00,7.50,288.76,13.03,1.00,16.00,6.00,3.00,40.00,900.20,1342.00,13340.00,664.67,0.00,0.00,0.00,0.00,0.00,0.00,2496.00,24839.74,0.00,0.00,0.00,,0.00,0.00,0.00,,43582.62,38.07,0.00,0.00,0.00,0.00,2.73,3.27,190.07,13.17,0.00,0.00,0.00,0.00,0.00,0.00,4.38,316.19,0.00,0.00,0.00,,0.00,0.00,0.00,,529.81,1496.56,2231.58,22077.87,1097.58,0.00,0.00,0.00,0.00,0.00,0.01,4151.66,41135.20,0.00,0.00,0.00,,0.00,0.00,0.00,,72190.45,71.16,0.00,0.00,0.00,0.00
116.25,61.68,32.00,7.50,288.76,13.03,1.00,16.00,6.00,3.00,40.00,900.20,1342.00,13340.00,664.67,0.00,0.00,0.00,0.00,0.00,0.00,2496.00,24839.74,0.00,0.00,0.00,,0.00,0.00,0.00,,43582.62,38.07,0.00,0.00,0.00,0.00,2.73,3.27,190.07,13.17,0.00,0.00,0.00,0.00,0.00,0.00,4.38,316.19,0.00,0.00,0.00,,0.00,0.00,0.00,,529.81,1496.56,2231.58,22077.87,1097.58,0.00,0.00,0.00,0.00,0.00,0.01,4151.66,41135.20,0.00,0.00,0.00,,0.00,0.00,0.00,,72190.45,71.16,0.00,0.00,0.00,0.00
